Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Jae'Sean Tate (17225303),Jae'Sean Tate,17225303,SF/PF/F/UTIL,6100,HOU@DEN 04/24/2021 10:00PM ET,HOU,24.51
PG,Coby White (17225316),Coby White,17225316,PG/G/UTIL,5900,CHI@MIA 04/24/2021 08:00PM ET,CHI,27.96
SF/PF,Bojan Bogdanovic (17225312),Bojan Bogdanovic,17225312,SF/PF/F/UTIL,5900,MIN@UTA 04/24/2021 09:00PM ET,UTA,24.78
SG/SF,Will Barton (17225319),Will Barton,17225319,SG/SF/F/G/UTIL,5800,HOU@DEN 04/24/2021 10:00PM ET,DEN,25.21
SG/SF,Malik Beasley (17225324),Malik Beasley,17225324,SG/SF/F/G/UTIL,5700,MIN@UTA 04/24/2021 09:00PM ET,MIN,31.53
SG/SF,Naji Marshall (17225329),Naji Marshall,17225329,SG/SF/F/G/UTIL,5600,SA@NO 04/24/2021 08:00PM ET,NO,15.93
C,Montrezl Harrell (17225341),Montrezl Harrell,17225341,C/UTIL,5500,LAL@DAL 04/24/2021 08:30PM ET,LAL,26.26
PG,T.J. McConnell (17225334),T.J. McConnell,17225334,PG/G/UTIL,5500,DET@IND 04/24/2021 07:00PM ET,IND,25.96
SF/PF,Aaron Gordon (17225337),Aaron Gordon,17225337,SF/PF/F/UTIL,5500,HOU@DEN 04/24/2021 10:00PM ET,DEN,29.01
SF/PF,Dorian Finney-Smith (17225346),Dorian Finney-Smith,17225346,SF/PF/F/UTIL,5400,LAL@DAL 04/24/2021 08:30PM ET,DAL,21.91
SG,Eric Gordon (17225343),Eric Gordon,17225343,SG/G/UTIL,5400,HOU@DEN 04/24/2021 10:00PM ET,HOU,26.78
PF/C,Thaddeus Young (17225352),Thaddeus Young,17225352,PF/C/F/UTIL,5300,CHI@MIA 04/24/2021 08:00PM ET,CHI,28.94
PG,Kendrick Nunn (17225365),Kendrick Nunn,17225365,PG/G/UTIL,5300,CHI@MIA 04/24/2021 08:00PM ET,MIA,24.79
SF,Saddiq Bey (17225359),Saddiq Bey,17225359,SF/F/UTIL,5300,DET@IND 04/24/2021 07:00PM ET,DET,20.88
