slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
okongon01,Onyeka Okongwu,ATLANTA HAWKS,AWAY,NEW YORK KNICKS,LOSS,485,2,2,0,0,0,0,1,0,0,0,1,0,2,4.0
clarkbr01,Brandon Clarke,MEMPHIS GRIZZLIES,AWAY,LOS ANGELES CLIPPERS,LOSS,1197,3,6,0,1,0,0,1,3,1,1,0,2,1,3.9
martike03,Kelan Martin,INDIANA PACERS,HOME,OKLAHOMA CITY THUNDER,WIN,946,3,8,0,3,0,0,3,1,1,0,0,0,2,3.9
okorois01,Isaac Okoro,CLEVELAND CAVALIERS,HOME,CHICAGO BULLS,WIN,1660,4,9,0,1,0,0,1,0,1,1,0,1,2,3.9
valende01,Denzel Valentine,CHICAGO BULLS,AWAY,CLEVELAND CAVALIERS,LOSS,1499,4,10,1,5,0,0,0,2,1,0,0,1,0,3.9
wilsodj01,D.J. Wilson,HOUSTON ROCKETS,HOME,UTAH JAZZ,LOSS,764,3,8,0,2,0,2,2,3,2,0,0,0,2,3.7
brookar01,Armoni Brooks,HOUSTON ROCKETS,HOME,UTAH JAZZ,LOSS,2084,2,11,2,9,0,0,3,7,4,0,1,2,3,3.6
paytoel01,Elfrid Payton,NEW YORK KNICKS,HOME,ATLANTA HAWKS,WIN,1036,3,9,0,1,0,1,1,2,3,3,0,3,1,3.5
thybuma01,Matisse Thybulle,PHILADELPHIA 76ERS,HOME,PHOENIX SUNS,LOSS,2144,0,4,0,1,0,0,1,2,3,2,3,0,3,3.5
dellama01,Matthew Dellavedova,CLEVELAND CAVALIERS,HOME,CHICAGO BULLS,WIN,1107,1,5,1,3,0,0,0,0,6,0,0,0,2,3.3
leesa01,Saben Lee,DETROIT PISTONS,AWAY,DALLAS MAVERICKS,LOSS,720,2,3,0,0,2,2,0,2,1,0,0,2,2,3.2
goodwbr01,Brandon Goodwin,ATLANTA HAWKS,AWAY,NEW YORK KNICKS,LOSS,1128,2,6,2,4,1,2,0,1,0,0,0,0,1,3.1
bouchch01,Chris Boucher,TORONTO RAPTORS,HOME,BROOKLYN NETS,WIN,634,2,5,0,1,0,0,2,5,0,0,0,0,3,3.0
bradlav01,Avery Bradley,HOUSTON ROCKETS,HOME,UTAH JAZZ,LOSS,1180,2,8,2,6,0,0,0,3,1,1,0,0,2,3.0
vincega01,Gabe Vincent,MIAMI HEAT,AWAY,SAN ANTONIO SPURS,WIN,118,1,1,1,1,0,0,0,1,0,0,0,0,0,3.0
murrade01,Dejounte Murray,SAN ANTONIO SPURS,HOME,MIAMI HEAT,LOSS,1690,4,14,3,8,0,0,0,5,4,0,0,3,3,2.9
pattepa01,Patrick Patterson,LOS ANGELES CLIPPERS,HOME,MEMPHIS GRIZZLIES,WIN,805,1,2,1,2,0,0,0,3,0,0,0,0,0,2.9
mcdanja02,Jaden McDaniels,MINNESOTA TIMBERWOLVES,AWAY,SACRAMENTO KINGS,LOSS,1922,2,4,0,2,0,0,1,1,0,1,1,0,5,2.7
portejo01,Jontay Porter,MEMPHIS GRIZZLIES,AWAY,LOS ANGELES CLIPPERS,LOSS,105,1,1,1,1,0,0,0,0,0,0,0,0,0,2.7
tilliki02,Killian Tillie,MEMPHIS GRIZZLIES,AWAY,LOS ANGELES CLIPPERS,LOSS,105,1,1,1,1,0,0,0,0,0,0,0,0,0,2.7
trentga02,Gary Trent,TORONTO RAPTORS,HOME,BROOKLYN NETS,WIN,867,2,9,1,5,0,0,0,4,0,2,0,0,0,2.7
crowdja01,Jae Crowder,PHOENIX SUNS,AWAY,PHILADELPHIA 76ERS,WIN,800,1,7,1,6,0,0,3,1,4,1,1,2,2,2.6
flynnma01,Malachi Flynn,TORONTO RAPTORS,HOME,BROOKLYN NETS,WIN,663,2,5,1,3,0,0,0,0,1,1,0,1,1,2.6
jacksfr01,Frank Jackson,DETROIT PISTONS,AWAY,DALLAS MAVERICKS,LOSS,1058,1,3,1,3,0,0,0,2,1,0,0,0,0,2.6
klebima01,Maxi Kleber,DALLAS MAVERICKS,HOME,DETROIT PISTONS,WIN,811,0,3,0,2,0,0,2,3,1,1,1,0,0,2.6
millspa02,Patty Mills,SAN ANTONIO SPURS,HOME,MIAMI HEAT,LOSS,1359,2,6,2,6,0,0,0,0,0,0,0,0,0,2.6
smithis01,Ish Smith,WASHINGTON WIZARDS,HOME,GOLDEN STATE WARRIORS,WIN,1129,1,6,0,0,0,0,1,2,4,1,1,1,1,2.6
stevela01,Lamar Stevens,CLEVELAND CAVALIERS,HOME,CHICAGO BULLS,WIN,179,1,1,0,0,0,0,1,1,0,0,0,0,1,2.3
hillso01,Solomon Hill,ATLANTA HAWKS,AWAY,NEW YORK KNICKS,LOSS,1732,2,5,1,2,0,1,0,1,1,1,0,1,2,2.1
mclaujo01,Jordan McLaughlin,MINNESOTA TIMBERWOLVES,AWAY,SACRAMENTO KINGS,LOSS,379,1,1,0,0,0,0,0,0,2,0,0,1,0,2.1
cookty01,Tyler Cook,DETROIT PISTONS,AWAY,DALLAS MAVERICKS,LOSS,365,1,1,0,0,0,0,1,1,1,0,0,1,1,2.0
greenja02,Javonte Green,CHICAGO BULLS,AWAY,CLEVELAND CAVALIERS,LOSS,234,0,0,0,0,2,2,0,0,0,0,0,0,0,2.0
pelleno01,Norvel Pelle,NEW YORK KNICKS,HOME,ATLANTA HAWKS,WIN,551,1,1,0,0,0,0,0,1,0,0,0,0,0,2.0
pokusal01,Aleksej Pokusevski,OKLAHOMA CITY THUNDER,AWAY,INDIANA PACERS,LOSS,322,1,3,0,1,0,0,1,1,1,0,0,0,0,2.0
thomama02,Matt Thomas,UTAH JAZZ,AWAY,HOUSTON ROCKETS,WIN,419,2,3,0,0,0,0,0,1,0,0,0,1,0,2.0
greenje02,Jeff Green,BROOKLYN NETS,AWAY,TORONTO RAPTORS,LOSS,1757,2,9,1,7,3,4,0,1,1,0,2,1,4,1.9
favorde01,Derrick Favors,UTAH JAZZ,AWAY,HOUSTON ROCKETS,WIN,856,1,2,0,1,0,0,0,5,0,0,0,0,2,1.7
templga01,Garrett Temple,CHICAGO BULLS,AWAY,CLEVELAND CAVALIERS,LOSS,1566,2,7,0,4,0,0,0,2,2,1,0,0,3,1.7
greenja01,JaMychal Green,DENVER NUGGETS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1090,0,3,0,1,0,0,2,0,2,1,1,0,2,1.6
mathega01,Garrison Mathews,WASHINGTON WIZARDS,HOME,GOLDEN STATE WARRIORS,WIN,400,0,1,0,1,2,2,0,1,0,0,0,0,0,1.6
muldemy01,Mychal Mulder,GOLDEN STATE WARRIORS,AWAY,WASHINGTON WIZARDS,LOSS,636,1,2,1,2,0,0,0,0,0,0,0,0,1,1.6
onimi01,Miye Oni,UTAH JAZZ,AWAY,HOUSTON ROCKETS,WIN,930,1,2,0,1,0,0,0,1,0,0,1,0,1,1.6
luwawti01,Timothé Luwawu-Cabarrot,BROOKLYN NETS,AWAY,TORONTO RAPTORS,LOSS,1190,2,9,2,6,0,0,1,1,0,0,0,0,0,1.5
jonestr01,Tre Jones,SAN ANTONIO SPURS,HOME,MIAMI HEAT,LOSS,246,0,1,0,0,2,2,0,0,0,0,0,0,0,1.3
kabenmf01,Mfiondu Kabengele,CLEVELAND CAVALIERS,HOME,CHICAGO BULLS,WIN,173,0,1,0,1,2,2,0,0,0,0,0,0,0,1.3
dotsode01,Devon Dotson,CHICAGO BULLS,AWAY,CLEVELAND CAVALIERS,LOSS,234,1,2,0,1,0,0,0,0,0,0,0,0,0,1.0
forretr01,Trent Forrest,UTAH JAZZ,AWAY,HOUSTON ROCKETS,WIN,419,1,2,0,0,0,0,0,0,0,0,0,0,0,1.0
jeffrda01,DaQuan Jeffries,HOUSTON ROCKETS,HOME,UTAH JAZZ,LOSS,1215,1,5,0,4,0,0,1,4,0,1,0,0,2,1.0
morgaju01,Juwan Morgan,UTAH JAZZ,AWAY,HOUSTON ROCKETS,WIN,216,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0
wrighde01,Delon Wright,SACRAMENTO KINGS,HOME,MINNESOTA TIMBERWOLVES,WIN,875,1,3,0,0,0,0,0,0,1,0,0,0,0,1.0
achiupr01,Precious Achiuwa,MIAMI HEAT,AWAY,SAN ANTONIO SPURS,WIN,118,0,0,0,0,1,2,0,1,0,0,0,0,0,0.9
arizatr01,Trevor Ariza,MIAMI HEAT,AWAY,SAN ANTONIO SPURS,WIN,1782,1,5,1,4,0,0,0,4,0,1,0,0,3,0.9
couside01,DeMarcus Cousins,LOS ANGELES CLIPPERS,HOME,MEMPHIS GRIZZLIES,WIN,858,2,6,1,1,1,4,3,7,1,0,0,5,1,0.9
mokokad01,Adam Mokoka,CHICAGO BULLS,AWAY,CLEVELAND CAVALIERS,LOSS,187,1,2,0,1,0,1,0,1,0,0,0,0,0,0.9
vucevni01,Nikola Vučević,CHICAGO BULLS,AWAY,CLEVELAND CAVALIERS,LOSS,1512,4,12,1,5,0,0,1,4,2,1,0,5,2,0.7
aminual01,Al-Farouq Aminu,CHICAGO BULLS,AWAY,CLEVELAND CAVALIERS,LOSS,445,0,1,0,1,0,0,0,3,1,0,0,0,1,0.5
wadede01,Dean Wade,CLEVELAND CAVALIERS,HOME,CHICAGO BULLS,WIN,626,0,3,0,2,0,0,0,2,0,2,0,0,0,0.5
winslju01,Justise Winslow,MEMPHIS GRIZZLIES,AWAY,LOS ANGELES CLIPPERS,LOSS,953,1,3,0,0,1,2,0,2,3,0,1,3,2,0.5
