Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
56787-14501,C,Tristan,Tristan Thompson,Thompson,20.89189189189189,37,4300,MIN@BOS,BOS,MIN,,,,,,C
56787-58081,PG,Tyus,Tyus Jones,Jones,18.740816077407526,49,4300,MEM@NY,MEM,NY,,,,,,PG
56787-110340,PF,Jaxson,Jaxson Hayes,Hayes,13.289743276742788,39,4300,PHI@NO,NO,PHI,,,,,,PF
56787-110350,PF,Jalen,Jalen McDaniels,McDaniels,8.792000122070313,25,4300,CHA@MIL,CHA,MIL,,,,,,PF
56787-145819,SF,Naji,Naji Marshall,Marshall,9.563636086203836,11,4300,PHI@NO,NO,PHI,,,,,,SF
56787-24546,SF,Denzel,Denzel Valentine,Valentine,15.431818181818182,44,4300,CHI@ATL,CHI,ATL,,,,,,SF
56787-66061,SG,Dwayne,Dwayne Bacon,Bacon,16.939216164981616,51,4200,IND@ORL,ORL,IND,,,,,,SG
56787-117779,PF,Juan,Juan Toscano-Anderson,Toscano-Anderson,14.294285365513392,35,4200,WAS@GS,GS,WAS,,,,,,PF
56787-15993,SG,Pat,Pat Connaughton,Connaughton,17.364583333333332,48,4200,CHA@MIL,MIL,CHA,,,,,,SG
56787-63127,C,Willy,Willy Hernangomez,Hernangomez,17.365517451845367,29,4200,PHI@NO,NO,PHI,,,,,,C
56787-19138,PG,Elfrid,Elfrid Payton,Payton,22.72093023255814,43,4200,MEM@NY,NY,MEM,,,,,,PG
56787-15559,SG,Jeremy,Jeremy Lamb,Lamb,21.130000813802084,30,4200,IND@ORL,IND,ORL,,,,,,SG
56787-84719,SG,Aaron,Aaron Holiday,Holiday,12.797916412353516,48,4200,IND@ORL,IND,ORL,,,,,,SG
56787-110322,PG,Jordan,Jordan Poole,Poole,15.873333740234376,30,4200,WAS@GS,GS,WAS,,,,,,PG
56787-9481,PF,Taj,Taj Gibson,Gibson,16.09199951171875,25,4200,MEM@NY,NY,MEM,,,,,,PF
56787-9660,C,Dwight,Dwight Howard,Howard,20.409804400275736,51,4200,PHI@NO,PHI,NO,,,,,,C
56787-9703,PG,George,George Hill,Hill,21.021427699497767,14,4200,PHI@NO,PHI,NO,O,Thumb,,,,PG
56787-66046,SG,Luke,Luke Kennard,Kennard,14.168085625831116,47,4200,HOU@LAC,LAC,HOU,,,,,,SG
56787-12362,C,DeMarcus,DeMarcus Cousins,Cousins,25.076923076923077,26,4100,HOU@LAC,LAC,HOU,,,,,,C
56787-110995,C,Naz,Naz Reid,Reid,21.96,50,4100,MIN@BOS,MIN,BOS,,,,,,C
56787-145313,PF,Jordan,Jordan Nwora,Nwora,7.799999839381168,19,4100,CHA@MIL,MIL,CHA,,,,,,PF
56787-145316,PG,Kira,Kira Lewis,Lewis,13.590909090909092,33,4100,PHI@NO,NO,PHI,GTD,Calf,,,,PG
56787-15814,C,Alex,Alex Len,Len,15.592857724144345,42,4100,WAS@GS,WAS,GS,,,,,,C
56787-145348,SG,Immanuel,Immanuel Quickley,Quickley,19.406382459275267,47,4100,MEM@NY,NY,MEM,,,,,,SG
56787-15405,PF,JaMychal,JaMychal Green,Green,17.4974365234375,39,4000,SA@DEN,DEN,SA,,,,,,PF
56787-40562,SG,Josh,Josh Hart,Hart,24.48723456200133,47,4000,PHI@NO,NO,PHI,O,Thumb,,,,SG
56787-58084,SF,Justise,Justise Winslow,Winslow,17.524999618530273,16,4000,MEM@NY,MEM,NY,O,Quadriceps,,,,SF
56787-23802,PG,Kris,Kris Dunn,Dunn,22.386273552389707,51,4000,CHI@ATL,ATL,CHI,O,Ankle,,,,PG
56787-18256,PF,Doug,Doug McDermott,McDermott,19.933333079020183,48,4000,IND@ORL,IND,ORL,,,,,,PF
56787-145336,PF,Xavier,Xavier Tillman,Tillman,16.687179174178684,39,4000,MEM@NY,MEM,NY,,,,,,PF
