Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
56827-145588,SF,Anthony,Anthony Lamb,Lamb,6.229999923706055,10,3500,HOU@GS,HOU,GS,,,,,,SF
56827-84696,SG,Jevon,Jevon Carter,Carter,7.546153533153045,39,3500,WAS@PHO,PHO,WAS,,,,,,SG
56827-14554,SF,E'Twaun,E'Twaun Moore,Moore,10.03749974568685,24,3500,WAS@PHO,PHO,WAS,,,,,,SF
56827-145624,SG,Ty-Shon,Ty-Shon Alexander,Alexander,1.3166666825612385,6,3500,WAS@PHO,PHO,WAS,,,,,,SG
56827-84701,C,Chimezie,Chimezie Metu,Metu,10.173684371145148,19,3500,SAC@UTA,SAC,UTA,,,,,,C
56827-84707,SF,Chandler,Chandler Hutchison,Hutchison,8.491666793823242,12,3500,WAS@PHO,WAS,PHO,,,,,,SF
56827-110308,SF,Jarrell,Jarrell Brantley,Brantley,3.764705882352941,17,3500,SAC@UTA,UTA,SAC,,,,,,SF
56827-145643,SG,Mason,Mason Jones,Jones,9.860714503696986,28,3500,PHI@OKC,PHI,OKC,,,,,,SG
56827-110827,SG,Matt,Matt Thomas,Thomas,4.513333129882812,30,3500,SAC@UTA,UTA,SAC,,,,,,SG
56827-9453,PF,Al,Al Horford,Horford,31.735713413783483,28,3500,PHI@OKC,OKC,PHI,O,Coach's decision,,,,PF
56827-42733,SF,David,David Nwaba,Nwaba,20.00333251953125,30,3500,HOU@GS,HOU,GS,O,Wrist,,,,SF
56827-67312,C,Thomas,Thomas Bryant,Bryant,26.370001220703124,10,3500,WAS@PHO,WAS,PHO,O,Knee,,,,C
56827-110323,C,Eric,Eric Paschall,Paschall,15.648717635717148,39,3500,HOU@GS,GS,HOU,O,Hip,,,,C
56827-84722,PF,Isaac,Isaac Bonga,Bonga,6.1064517113470265,31,3500,WAS@PHO,WAS,PHO,,,,,,PF
56827-84725,PF,Kostas,Kostas Antetokounmpo,Antetokounmpo,2.7399999618530275,10,3500,LAL@BKN,LAL,BKN,,,,,,PF
56827-110324,SG,Miye,Miye Oni,Oni,5.372222052680121,36,3500,SAC@UTA,UTA,SAC,,,,,,SG
56827-23294,SF,Danuel,Danuel House,House,19.02258103893649,31,3500,HOU@GS,HOU,GS,O,Ankle,,,,SF
56827-110334,SG,Justin,Justin James,James,3.5079998779296875,25,3500,SAC@UTA,SAC,UTA,,,,,,SG
56827-110341,SG,Dylan,Dylan Windler,Windler,12.899999803112399,31,3500,TOR@CLE,CLE,TOR,O,Knee,,,,SG
56827-19726,SF,Abdel,Abdel Nader,Nader,12.53749974568685,24,3500,WAS@PHO,PHO,WAS,O,Knee,,,,SF
56827-55055,PG,Dante,Dante Exum,Exum,12.316666920979818,6,3500,HOU@GS,HOU,GS,GTD,Calf,,,,PG
56827-110358,SG,Kyle,Kyle Guy,Guy,5.947619120279948,21,3500,SAC@UTA,SAC,UTA,,,,,,SG
56827-115994,PF,Tyler,Tyler Cook,Cook,6.706666564941406,15,3500,DET@POR,DET,POR,,,,,,PF
56827-110365,PF,Alen,Alen Smailagic,Smailagic,3.5200000762939454,5,3500,HOU@GS,GS,HOU,,,,,,PF
56827-145737,SG,Brodric,Brodric Thomas,Thomas,7.706666564941406,15,3500,TOR@CLE,CLE,TOR,,,,,,SG
56827-17230,SG,Langston,Langston Galloway,Galloway,7.294117647058823,34,3500,WAS@PHO,PHO,WAS,,,,,,SG
56827-9598,PF,Ersan,Ersan Ilyasova,Ilyasova,4.566666603088379,6,3500,SAC@UTA,UTA,SAC,,,,,,PF
56827-15744,SG,Rodney,Rodney McGruder,McGruder,10.087499618530273,16,3500,DET@POR,DET,POR,O,Elbow,,,,SG
