slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
butleji01,Jimmy Butler,MIAMI HEAT,AWAY,PORTLAND TRAIL BLAZERS,WIN,2171,7,13,1,2,5,6,0,4,5,4,2,3,2,19.6
bouchch01,Chris Boucher,TORONTO RAPTORS,AWAY,NEW YORK KNICKS,LOSS,1816,6,10,1,3,4,4,2,12,0,0,4,0,4,18.6
capelca01,Clint Capela,ATLANTA HAWKS,AWAY,CHARLOTTE HORNETS,WIN,2096,8,12,0,0,4,6,3,12,3,0,0,2,3,18.6
tatumja01,Jayson Tatum,BOSTON CELTICS,AWAY,DENVER NUGGETS,WIN,2005,9,23,2,7,8,8,1,9,2,1,0,2,2,18.5
okorois01,Isaac Okoro,CLEVELAND CAVALIERS,HOME,NEW ORLEANS PELICANS,LOSS,1799,6,10,2,4,5,5,2,1,3,1,0,0,2,18.4
jokicni01,Nikola Jokić,DENVER NUGGETS,HOME,BOSTON CELTICS,LOSS,1890,6,15,0,2,5,7,2,8,11,1,1,2,3,18.1
rubiori01,Ricky Rubio,MINNESOTA TIMBERWOLVES,HOME,CHICAGO BULLS,WIN,1525,6,13,5,6,0,0,0,4,9,1,0,0,2,18.0
brownja02,Jaylen Brown,BOSTON CELTICS,AWAY,DENVER NUGGETS,WIN,2157,8,15,2,7,2,3,2,6,3,0,2,0,3,17.8
barrerj01,RJ Barrett,NEW YORK KNICKS,HOME,TORONTO RAPTORS,WIN,1980,7,12,3,6,2,3,0,1,5,2,0,0,3,17.6
goodwbr01,Brandon Goodwin,ATLANTA HAWKS,AWAY,CHARLOTTE HORNETS,WIN,2237,7,10,3,6,0,0,0,5,8,0,0,2,1,17.5
batumni01,Nicolas Batum,LOS ANGELES CLIPPERS,HOME,DETROIT PISTONS,WIN,1886,5,6,4,4,0,0,2,7,3,1,3,2,3,17.3
moranja01,Ja Morant,MEMPHIS GRIZZLIES,HOME,INDIANA PACERS,LOSS,2088,8,15,0,1,7,11,2,0,6,2,0,4,1,17.3
zubaciv01,Ivica Zubac,LOS ANGELES CLIPPERS,HOME,DETROIT PISTONS,WIN,2121,5,6,0,0,3,6,3,7,7,0,1,2,1,17.0
lowryky01,Kyle Lowry,TORONTO RAPTORS,AWAY,NEW YORK KNICKS,LOSS,2241,5,10,2,7,7,8,0,7,6,3,0,5,3,16.7
bridgmi02,Miles Bridges,CHARLOTTE HORNETS,HOME,ATLANTA HAWKS,LOSS,2449,9,17,3,10,2,3,1,6,2,1,0,2,2,16.4
vucevni01,Nikola Vučević,CHICAGO BULLS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1649,7,13,2,3,2,2,2,3,5,0,3,2,3,16.4
browntr01,Troy Brown,CHICAGO BULLS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1293,6,7,3,3,0,0,2,5,2,1,0,0,4,16.2
bambamo01,Mohamed Bamba,ORLANDO MAGIC,HOME,MILWAUKEE BUCKS,LOSS,1250,8,11,5,6,0,1,1,4,0,0,1,2,2,15.9
adebaba01,Bam Adebayo,MIAMI HEAT,AWAY,PORTLAND TRAIL BLAZERS,WIN,2089,9,14,0,0,4,8,0,3,2,2,0,2,2,15.7
marshna01,Naji Marshall,NEW ORLEANS PELICANS,AWAY,CLEVELAND CAVALIERS,WIN,1860,6,9,2,4,1,3,1,6,4,1,1,1,2,15.5
